# split1	rel_image_1	split2	rel_image_2	Hamming
train	images/train/Aphids_527.jpg	test	images/test/Aphids_849.jpg	0
train	images/train/Aphids_688.jpg	test	images/test/Aphids_849.jpg	0
train	images/train/Aphids_7.jpg	test	images/test/Aphids_867.jpg	0
train	images/train/Aphids_747.jpg	test	images/test/Aphids_839.jpg	0
train	images/train/Aphids_752.jpg	test	images/test/Aphids_849.jpg	0
train	images/train/Aphids_754.jpg	test	images/test/Aphids_839.jpg	0
train	images/train/Aphids_763.jpg	test	images/test/Aphids_744.jpg	0
train	images/train/Aphids_798.jpg	test	images/test/Aphids_806.jpg	0
train	images/train/Aphids_805.jpg	test	images/test/Aphids_867.jpg	0
train	images/train/Aphids_832.jpg	test	images/test/Aphids_678.jpg	0
train	images/train/Aphids_835.jpg	test	images/test/Aphids_867.jpg	0
train	images/train/Aphids_857.jpg	test	images/test/Aphids_673.jpg	0
train	images/train/Aphids_859.jpg	test	images/test/Aphids_690.jpg	0
train	images/train/Aphids_869.jpg	test	images/test/Aphids_861.jpg	0
train	images/train/Army_worm_531.jpg	test	images/test/Army_worm_439.jpg	0
train	images/train/Corn_Blight_79.jpg	test	images/test/Gray_Leaf_Spot_100.jpg	0
train	images/train/Corn_borer_2.jpg	test	images/test/Corn_borer_748.jpg	0
train	images/train/Corn_borer_326.jpg	test	images/test/Corn_borer_752.jpg	0
train	images/train/Corn_borer_428.jpg	test	images/test/Corn_borer_806.jpg	0
train	images/train/Corn_borer_478.jpg	test	images/test/Corn_borer_0.jpg	0
train	images/train/Corn_borer_478.jpg	test	images/test/Corn_borer_746.jpg	0
train	images/train/Corn_borer_516.jpg	test	images/test/Corn_borer_92.jpg	0
train	images/train/Corn_borer_844.jpg	test	images/test/Corn_borer_460.jpg	0
train	images/train/Corn_borer_877.jpg	test	images/test/Corn_borer_960.jpg	0
train	images/train/Corn_borer_899.jpg	test	images/test/Corn_borer_104.jpg	0
train	images/train/aug1_c4_00073.jpg	test	images/test/Corn_borer_92.jpg	0
train	images/train/aug1_c4_00086.jpg	test	images/test/Corn_borer_960.jpg	0
train	images/train/aug1_c4_00088.jpg	test	images/test/Corn_borer_854.jpg	0
train	images/train/aug1_c4_00089.jpg	test	images/test/Corn_borer_332.jpg	0
train	images/train/aug1_c4_00111.jpg	test	images/test/Corn_borer_524.jpg	0
train	images/train/aug1_c4_00182.jpg	test	images/test/Corn_borer_1045.jpg	0
train	images/train/aug1_c4_00286.jpg	test	images/test/Corn_borer_1025.jpg	0
train	images/train/aug1_c4_00294.jpg	test	images/test/Corn_borer_960.jpg	0
train	images/train/aug1_c4_00301.jpg	test	images/test/Corn_borer_104.jpg	0
train	images/train/aug1_c4_00350.jpg	test	images/test/Corn_borer_949.jpg	0
train	images/train/aug1_c5_00019.jpg	test	images/test/Army_worm_439.jpg	0
train	images/train/aug1_c5_00041.jpg	test	images/test/Army_worm_274.jpg	0
train	images/train/aug1_c5_00067.jpg	test	images/test/Army_worm_268.jpg	0
train	images/train/aug1_c5_00085.jpg	test	images/test/Army_worm_340.jpg	0
train	images/train/aug1_c5_00144.jpg	test	images/test/Army_worm_450.jpg	0
train	images/train/aug1_c5_00162.jpg	test	images/test/Army_worm_509.jpg	0
train	images/train/aug1_c5_00196.jpg	test	images/test/Army_worm_128.jpg	0
train	images/train/aug1_c5_00286.jpg	test	images/test/Army_worm_564.jpg	0
train	images/train/aug1_c5_00304.jpg	test	images/test/Army_worm_576.jpg	0
train	images/train/aug1_c5_00315.jpg	test	images/test/Army_worm_547.jpg	0
train	images/train/aug1_c5_00353.jpg	test	images/test/Army_worm_180.jpg	0
train	images/train/aug1_c5_00390.jpg	test	images/test/Army_worm_180.jpg	0
train	images/train/aug1_c5_00441.jpg	test	images/test/Army_worm_439.jpg	0
train	images/train/aug1_c5_00477.jpg	test	images/test/Army_worm_525.jpg	0
train	images/train/aug1_c5_00486.jpg	test	images/test/Army_worm_509.jpg	0
train	images/train/aug1_c5_00509.jpg	test	images/test/Army_worm_499.jpg	0
train	images/train/Aphids_236.jpg	test	images/test/Corn_Health (848).jpg	1
train	images/train/Aphids_325.jpg	test	images/test/Corn_Health (947).jpg	1
train	images/train/Aphids_589.jpg	test	images/test/Aphids_622.jpg	1
train	images/train/Aphids_7.jpg	test	images/test/Aphids_841.jpg	1
train	images/train/Aphids_733.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_734.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_747.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_753.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_754.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_805.jpg	test	images/test/Aphids_841.jpg	1
train	images/train/Aphids_833.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Aphids_835.jpg	test	images/test/Aphids_841.jpg	1
train	images/train/Aphids_840.jpg	test	images/test/Aphids_839.jpg	1
train	images/train/Aphids_844.jpg	test	images/test/Aphids_863.jpg	1
train	images/train/Corn_Common_Rust (675).jpg	test	images/test/Army_worm_509.jpg	1
train	images/train/Corn_Health (1035).jpg	test	images/test/Corn_Health (314).jpg	1
train	images/train/Corn_Health (823).jpg	test	images/test/Corn_Health (947).jpg	1
train	images/train/Corn_borer_294.jpg	test	images/test/Corn_borer_224.jpg	1
train	images/train/Corn_borer_54.jpg	test	images/test/Corn_borer_524.jpg	1
train	images/train/aug1_c4_00117.jpg	test	images/test/Corn_borer_0.jpg	1
train	images/train/aug1_c4_00117.jpg	test	images/test/Corn_borer_746.jpg	1
train	images/train/aug1_c4_00151.jpg	test	images/test/Corn_borer_216.jpg	1
train	images/train/aug1_c4_00158.jpg	test	images/test/Corn_borer_1023.jpg	1
train	images/train/aug1_c4_00250.jpg	test	images/test/Army_worm_464.jpg	1
train	images/train/aug1_c5_00047.jpg	test	images/test/Army_worm_525.jpg	1
train	images/train/aug1_c5_00095.jpg	test	images/test/Army_worm_439.jpg	1
train	images/train/aug1_c5_00154.jpg	test	images/test/Army_worm_66.jpg	1
train	images/train/aug1_c5_00322.jpg	test	images/test/Army_worm_426.jpg	1
train	images/train/aug1_c5_00443.jpg	test	images/test/Army_worm_439.jpg	1
train	images/train/Aphids_179.jpg	test	images/test/Corn_Health (64).jpg	2
train	images/train/Aphids_349.jpg	test	images/test/Aphids_288.jpg	2
train	images/train/Aphids_638.jpg	test	images/test/Aphids_622.jpg	2
train	images/train/Aphids_733.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_734.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_753.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_809.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_833.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_840.jpg	test	images/test/Aphids_863.jpg	2
train	images/train/Aphids_844.jpg	test	images/test/Aphids_839.jpg	2
train	images/train/Aphids_853.jpg	test	images/test/Aphids_861.jpg	2
train	images/train/Corn_Common_Rust (1210).jpg	test	images/test/Corn_Common_Rust (980).jpg	2
train	images/train/Corn_Common_Rust (877).jpg	test	images/test/Corn_Common_Rust (164).jpg	2
train	images/train/Corn_Common_Rust (954).jpg	test	images/test/Corn_Common_Rust (887).jpg	2
train	images/train/Corn_borer_422.jpg	test	images/test/Corn_borer_836.jpg	2
train	images/train/Corn_borer_869.jpg	test	images/test/Corn_borer_44.jpg	2
train	images/train/Corn_borer_961.jpg	test	images/test/Corn_borer_902.jpg	2
train	images/train/aug1_c4_00081.jpg	test	images/test/Corn_borer_44.jpg	2
train	images/train/aug1_c4_00130.jpg	test	images/test/Corn_borer_134.jpg	2
train	images/train/aug1_c4_00174.jpg	test	images/test/Corn_borer_164.jpg	2
train	images/train/aug1_c4_00194.jpg	test	images/test/Corn_borer_902.jpg	2
train	images/train/aug1_c4_00255.jpg	test	images/test/Corn_borer_1025.jpg	2
train	images/train/aug1_c4_00256.jpg	test	images/test/Corn_borer_262.jpg	2
train	images/train/Aphids_356.jpg	test	images/test/Aphids_355.jpg	3
train	images/train/Aphids_384.jpg	test	images/test/Aphids_697.jpg	3
train	images/train/Aphids_638.jpg	test	images/test/Corn_Health (848).jpg	3
train	images/train/Aphids_638.jpg	test	images/test/Corn_Health (947).jpg	3
train	images/train/Aphids_682.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/Aphids_717.jpg	test	images/test/Aphids_863.jpg	3
train	images/train/Aphids_809.jpg	test	images/test/Aphids_863.jpg	3
train	images/train/Army_worm_132.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/Army_worm_428.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/Army_worm_528.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/Corn_Common_Rust (1118).jpg	test	images/test/Corn_Common_Rust (1119).jpg	3
train	images/train/Corn_Common_Rust (158).jpg	test	images/test/Corn_Common_Rust (663).jpg	3
train	images/train/Corn_Common_Rust (30).jpg	test	images/test/Corn_Blight_832.jpg	3
train	images/train/Corn_Common_Rust (47).jpg	test	images/test/Corn_borer_524.jpg	3
train	images/train/Corn_Common_Rust (477).jpg	test	images/test/Corn_Common_Rust (405).jpg	3
train	images/train/Corn_Common_Rust (478).jpg	test	images/test/Corn_Common_Rust (1095).jpg	3
train	images/train/Corn_Health (1084).jpg	test	images/test/Corn_Blight_832.jpg	3
train	images/train/Corn_Health (174).jpg	test	images/test/Corn_Health (314).jpg	3
train	images/train/Corn_Health (602).jpg	test	images/test/Corn_Blight_798.jpg	3
train	images/train/Corn_Health (823).jpg	test	images/test/Corn_Health (848).jpg	3
train	images/train/Corn_Health (913).jpg	test	images/test/Corn_Health (848).jpg	3
train	images/train/Corn_Health (913).jpg	test	images/test/Corn_Health (947).jpg	3
train	images/train/Corn_Health (982).jpg	test	images/test/Aphids_401.jpg	3
train	images/train/Corn_borer_24.jpg	test	images/test/Corn_borer_748.jpg	3
train	images/train/Corn_borer_266.jpg	test	images/test/Corn_borer_262.jpg	3
train	images/train/Corn_borer_46.jpg	test	images/test/Corn_borer_748.jpg	3
train	images/train/Corn_borer_874.jpg	test	images/test/Corn_borer_524.jpg	3
train	images/train/Corn_borer_889.jpg	test	images/test/Corn_borer_902.jpg	3
train	images/train/Gray_Leaf_Spot_396.jpg	test	images/test/Gray_Leaf_Spot_461.jpg	3
train	images/train/aug1_c4_00101.jpg	test	images/test/Corn_borer_902.jpg	3
train	images/train/aug1_c4_00239.jpg	test	images/test/Corn_borer_752.jpg	3
train	images/train/aug1_c4_00240.jpg	test	images/test/Corn_borer_338.jpg	3
train	images/train/aug1_c4_00260.jpg	test	images/test/Corn_borer_960.jpg	3
train	images/train/aug1_c4_00348.jpg	test	images/test/Corn_Blight_26.jpg	3
train	images/train/aug1_c5_00174.jpg	test	images/test/Corn_borer_262.jpg	3
train	images/train/aug1_c5_00178.jpg	test	images/test/Corn_borer_262.jpg	3
train	images/train/aug1_c5_00277.jpg	test	images/test/Corn_Blight_798.jpg	3
train	images/train/aug1_c5_00379.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/aug1_c5_00425.jpg	test	images/test/Corn_Health (10).jpg	3
train	images/train/Aphids_163.jpg	test	images/test/Corn_Health (947).jpg	4
train	images/train/Aphids_174.jpg	test	images/test/Aphids_319.jpg	4
train	images/train/Aphids_189.jpg	test	images/test/Aphids_351.jpg	4
train	images/train/Aphids_227.jpg	test	images/test/Corn_Health (670).jpg	4
train	images/train/Aphids_232.jpg	test	images/test/Corn_Health (10).jpg	4
train	images/train/Aphids_232.jpg	test	images/test/Gray_Leaf_Spot_150.jpg	4
train	images/train/Aphids_236.jpg	test	images/test/Aphids_622.jpg	4
train	images/train/Aphids_326.jpg	test	images/test/Aphids_319.jpg	4
train	images/train/Aphids_338.jpg	test	images/test/Aphids_319.jpg	4
train	images/train/Aphids_391.jpg	test	images/test/Aphids_127.jpg	4
train	images/train/Aphids_493.jpg	test	images/test/Gray_Leaf_Spot_150.jpg	4
train	images/train/Aphids_499.jpg	test	images/test/Army_worm_610.jpg	4
train	images/train/Aphids_559.jpg	test	images/test/Aphids_319.jpg	4
train	images/train/Aphids_619.jpg	test	images/test/Aphids_519.jpg	4
train	images/train/Aphids_701.jpg	test	images/test/Aphids_697.jpg	4
train	images/train/Aphids_717.jpg	test	images/test/Aphids_839.jpg	4
train	images/train/Aphids_916.jpg	test	images/test/Aphids_637.jpg	4
train	images/train/Aphids_935.jpg	test	images/test/Corn_Health (253).jpg	4
train	images/train/Aphids_935.jpg	test	images/test/Corn_Health (437).jpg	4
train	images/train/Army_worm_236.jpg	test	images/test/Aphids_401.jpg	4
train	images/train/Army_worm_236.jpg	test	images/test/Corn_Blight_798.jpg	4
train	images/train/Army_worm_434.jpg	test	images/test/Aphids_703.jpg	4
train	images/train/Corn_Blight_1103.jpg	test	images/test/Corn_Health (947).jpg	4
train	images/train/Corn_Blight_316.jpg	test	images/test/Corn_Blight_534.jpg	4
train	images/train/Corn_Blight_829.jpg	test	images/test/Corn_Blight_832.jpg	4
train	images/train/Corn_Blight_882.jpg	test	images/test/Army_worm_610.jpg	4
train	images/train/Corn_Blight_933.jpg	test	images/test/Army_worm_610.jpg	4
train	images/train/Corn_Common_Rust (1201).jpg	test	images/test/Corn_Health (947).jpg	4
train	images/train/Corn_Common_Rust (1285).jpg	test	images/test/Corn_Health (10).jpg	4
train	images/train/Corn_Common_Rust (230).jpg	test	images/test/Corn_Common_Rust (887).jpg	4
train	images/train/Corn_Common_Rust (272).jpg	test	images/test/Corn_Common_Rust (980).jpg	4
train	images/train/Corn_Common_Rust (326).jpg	test	images/test/Corn_Common_Rust (405).jpg	4
train	images/train/Corn_Common_Rust (47).jpg	test	images/test/Aphids_674.jpg	4
train	images/train/Corn_Common_Rust (480).jpg	test	images/test/Corn_Common_Rust (343).jpg	4
train	images/train/Corn_Common_Rust (51).jpg	test	images/test/Corn_Health (253).jpg	4
train	images/train/Corn_Common_Rust (684).jpg	test	images/test/Corn_Common_Rust (887).jpg	4
train	images/train/Corn_Common_Rust (728).jpg	test	images/test/Corn_Common_Rust (638).jpg	4
train	images/train/Corn_Common_Rust (754).jpg	test	images/test/Corn_Common_Rust (738).jpg	4
train	images/train/Corn_Common_Rust (778).jpg	test	images/test/Corn_Common_Rust (365).jpg	4
train	images/train/Corn_Common_Rust (785).jpg	test	images/test/Corn_Common_Rust (887).jpg	4
train	images/train/Corn_Common_Rust (786).jpg	test	images/test/Corn_Common_Rust (663).jpg	4
train	images/train/Corn_Common_Rust (886).jpg	test	images/test/Corn_Common_Rust (638).jpg	4
train	images/train/Corn_Common_Rust (911).jpg	test	images/test/Corn_Common_Rust (1025).jpg	4
train	images/train/Corn_Common_Rust (911).jpg	test	images/test/Corn_Common_Rust (402).jpg	4
train	images/train/Corn_Common_Rust (920).jpg	test	images/test/Corn_Common_Rust (405).jpg	4
train	images/train/Corn_Common_Rust (960).jpg	test	images/test/Corn_Common_Rust (887).jpg	4
train	images/train/Corn_Common_Rust (973).jpg	test	images/test/Corn_Common_Rust (934).jpg	4
train	images/train/Corn_Health (187).jpg	test	images/test/Corn_Health (64).jpg	4
train	images/train/Corn_Health (264).jpg	test	images/test/Corn_Blight_216.jpg	4
train	images/train/Corn_Health (388).jpg	test	images/test/Corn_Health (314).jpg	4
train	images/train/Corn_Health (392).jpg	test	images/test/Corn_Health (193).jpg	4
train	images/train/Corn_Health (462).jpg	test	images/test/Corn_Health (10).jpg	4
train	images/train/Corn_Health (462).jpg	test	images/test/Gray_Leaf_Spot_150.jpg	4
train	images/train/Corn_Health (602).jpg	test	images/test/Aphids_997.jpg	4
train	images/train/Corn_Health (823).jpg	test	images/test/Aphids_622.jpg	4
train	images/train/Corn_Health (978).jpg	test	images/test/Corn_Health (437).jpg	4
train	images/train/Corn_borer_192.jpg	test	images/test/Corn_borer_943.jpg	4
train	images/train/Corn_borer_256.jpg	test	images/test/Aphids_485.jpg	4
train	images/train/Corn_borer_754.jpg	test	images/test/Corn_borer_622.jpg	4
train	images/train/aug1_c4_00010.jpg	test	images/test/Aphids_485.jpg	4
train	images/train/aug1_c4_00021.jpg	test	images/test/Corn_borer_524.jpg	4
train	images/train/aug1_c4_00023.jpg	test	images/test/Corn_borer_943.jpg	4
train	images/train/aug1_c4_00033.jpg	test	images/test/Corn_borer_224.jpg	4
train	images/train/aug1_c4_00037.jpg	test	images/test/Corn_borer_1029.jpg	4
train	images/train/aug1_c4_00107.jpg	test	images/test/Corn_borer_524.jpg	4
train	images/train/aug1_c4_00307.jpg	test	images/test/Aphids_485.jpg	4
train	images/train/aug1_c5_00054.jpg	test	images/test/Aphids_401.jpg	4
train	images/train/aug1_c5_00054.jpg	test	images/test/Corn_Blight_798.jpg	4
train	images/train/aug1_c5_00054.jpg	test	images/test/Corn_Health (10).jpg	4
train	images/train/aug1_c5_00157.jpg	test	images/test/Corn_borer_44.jpg	4
train	images/train/aug1_c5_00276.jpg	test	images/test/Aphids_401.jpg	4
train	images/train/aug1_c5_00334.jpg	test	images/test/Corn_Health (10).jpg	4
train	images/train/aug1_c5_00387.jpg	test	images/test/Aphids_401.jpg	4
train	images/train/aug1_c5_00387.jpg	test	images/test/Corn_Blight_798.jpg	4
train	images/train/aug1_c5_00494.jpg	test	images/test/Corn_borer_44.jpg	4
train	images/train/Aphids_179.jpg	test	images/test/Gray_Leaf_Spot_150.jpg	5
train	images/train/Aphids_187.jpg	test	images/test/Aphids_221.jpg	5
train	images/train/Aphids_189.jpg	test	images/test/Aphids_319.jpg	5
train	images/train/Aphids_200.jpg	test	images/test/Gray_Leaf_Spot_368.jpg	5
